                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.0897,                0.49447,                  0.897,                0.97888,                0.98814,                0.98655,                0.64626,                  1.185,                 0.4617,                0.91378,             0.00079563,             0.00079563,             0.00079563
                    135,                 1.1148,                0.47637,                0.90564,                 0.9805,                0.99014,                0.98923,                 0.6522,                 1.1746,                0.47011,                0.91189,             0.00078902,             0.00078902,             0.00078902
                    136,                 1.1189,                0.50037,                0.92244,                0.97291,                0.98347,                0.97503,                0.62549,                 1.2235,                0.47181,                0.91514,             0.00078242,             0.00078242,             0.00078242
                    137,                 1.1604,                0.50913,                0.92998,                0.97114,                0.98305,                0.98421,                0.63196,                 1.2083,                0.46871,                0.91535,             0.00077582,             0.00077582,             0.00077582
                    138,                 1.1118,                0.49607,                0.90964,                0.97709,                 0.9841,                0.99127,                0.63587,                 1.2175,                0.49111,                0.92326,             0.00076922,             0.00076922,             0.00076922
                    139,                   1.13,                0.52028,                0.90026,                0.97853,                0.98866,                0.99311,                0.64707,                 1.1762,                0.48803,                 0.9123,             0.00076262,             0.00076262,             0.00076262
                    140,                   1.15,                0.52006,                  0.919,                0.98571,                0.98527,                0.99033,                0.64374,                 1.1893,                0.48199,                 0.9171,             0.00075602,             0.00075602,             0.00075602
                    141,                 1.1441,                0.51247,                0.90296,                0.97491,                0.97673,                0.98561,                0.64167,                 1.1894,                0.48162,                0.91467,             0.00074942,             0.00074942,             0.00074942
                    142,                 1.1447,                0.49524,                0.90482,                0.97638,                 0.9842,                0.98609,                0.64543,                 1.1574,                0.46737,                 0.9077,             0.00074282,             0.00074282,             0.00074282
                    143,                 1.0977,                0.49408,                 0.9009,                 0.9759,                0.98559,                0.98916,                0.65468,                 1.1436,                0.45685,                 0.9041,             0.00073621,             0.00073621,             0.00073621
                    144,                 1.1066,                0.49948,                 0.8983,                0.97618,                0.98711,                0.98352,                0.64109,                 1.1918,                0.46942,                0.91306,             0.00072961,             0.00072961,             0.00072961
                    145,                 1.1124,                0.49343,                0.90758,                 0.9754,                 0.9847,                0.98667,                0.64033,                 1.2114,                0.48481,                0.91608,             0.00072301,             0.00072301,             0.00072301
                    146,                 1.0895,                0.47768,                0.90921,                0.97421,                0.99493,                0.98821,                0.65636,                 1.1861,                0.46543,                0.91149,             0.00071641,             0.00071641,             0.00071641
                    147,                 1.1084,                0.49564,                0.89399,                  0.963,                0.98815,                0.98931,                0.65568,                 1.1995,                 0.4714,                0.91331,             0.00070981,             0.00070981,             0.00070981
                    148,                 1.1125,                0.49861,                0.89614,                 0.9722,                0.98953,                0.98862,                0.65302,                 1.1855,                 0.4562,                0.91082,             0.00070321,             0.00070321,             0.00070321
                    149,                 1.1319,                 0.4884,                0.91022,                0.97612,                0.98702,                0.98917,                0.64783,                 1.1616,                0.45485,                0.91122,             0.00069661,             0.00069661,             0.00069661
                    150,                 1.1489,                0.48864,                0.91854,                0.97689,                0.98447,                0.98768,                0.64715,                 1.1652,                0.45634,                0.90701,                0.00069,                0.00069,                0.00069
